Bug ID,Milestone,Status,Date Created,Date Closed,Days Open,Bug Title
86ahkctg5,2.0.0 Global,to-do,2026-05-20,,,[UI/UX] Label is not displaying in the correct shape
86ahk7xxk,2.0.0 Global,to-do,2026-05-19,,,Crash: TextResponseException 504 Gateway Time-out from GRACE content API
86ahk7ap8,2.0.0 Global,build pending,2026-05-19,,,"[Events][Freeze][Buttons] Buttons in any Event menu stop working when trying to purchase ""Event deal"
86ahk755e,2.0.0 Global,code review,2026-05-19,,,Crash: CantPerformActionsWhileResyncing in ActionHelper.DoAction (Emporium purchase)
86ahk6u5t,2.0.0 Global,to-do,2026-05-19,,,Crash: NullReferenceException in ConfirmWindowBuilder.ShowAboveScreenStack during boot
86ahk6gca,2.0.0 Global,in progress,2026-05-19,,,[Portals] Portals don't show incoming enemies when tapping on them on the Main Base.
86ahk6gbe,2.0.0 Global,build pending,2026-05-19,,,[Spire] [UI/UX] [2BE] “Thron Event” Waves Cannot Be Completed With Current Player Loadout.
86ahk0q8x,2.0.0 Global,to-do,2026-05-19,,,[AdMon] [Energy] Energy is not being granted by Video AD. - Video.
86ahk02h0,2.0.0 Global,Closed,2026-05-19,2026-05-20,1,[Loading][Stuck] Launching after freeze caused by villager makes loading stuck at 99%
86ahjzwmm,2.0.0 Global,in qa,2026-05-19,,,[Tutorial] Everbloom's tutorial triggers at the wrong spot when player collects gold
86ahjzeej,2.0.0 Global,in qa,2026-05-19,,,[Freeze][Villager] Game freezes when recollecting a Villager's reward
86ahjvwfe,2.0.0 Global,to-do,2026-05-19,,,[LIVE][Migration] Cannot progress past wave 42 after migrating to 1.11.0
86ahju143,2.0.0 Global,to-do,2026-05-19,,,[UX/UI] [MBE] Details Page On Energy Events Has Little Information
86ahjq9mg,2.0.0 Global,to-do,2026-05-19,,,[Store] Google Play $99.99 IAP fails on FEAT SKU but succeeds on DEV SKU
86ahjn8aq,2.0.0 Global,to-do,2026-05-19,,,"[ServerMigration][Grid][Wave] After the server migration, some grid elements go invisible, and Waves"
86ahjcvba,2.0.0 Global,build pending,2026-05-18,,,"[Localization] [German] Text does not fit in ""Tap to Harvest"" and Reset time"
86ahjctjv,2.0.0 Global,in qa,2026-05-18,,,[Localization] [All] Wonder descriptions are too long to fit
86ahjcpx5,2.0.0 Global,in qa,2026-05-18,,,[Localization] [All] Image overlaps content
86ahjann6,2.0.0 Global,to-do,2026-05-18,,,[MBE] portal rift has not a “coming soon” or any timer when is inactive and an event it’s about to s
86ahjaefg,2.0.0 Global,to-do,2026-05-18,,,[UX/UI] Player profile tap closes tapping anywhere
86ahj7rub,2.0.0 Global,to-do,2026-05-18,,,"[Territory progression][Main Base] Wave 42 threshold conditions extends to nearby tiles, blocking th"
86ahj730c,2.0.0 Global,Closed,2026-05-18,2026-05-19,0,[MBE] Battle summary is missing from event Victory screen
86ahj5pvy,2.0.0 Global,to-do,2026-05-18,,,[UX/UI] [Territory Progression]  Land Requirements Display Can Be Tapped Outside Display
86ahj5h9n,2.0.0 Global,Closed,2026-05-18,2026-05-19,0,[UX/UI] [Mailbox] Red Dot Notification In Mailbox Will Also Appear On Chat Icon
